"","STABBR","degType","year","statetotal","comp_high_any","totalawards","share"
"56","AL","Master's and Higher",2012,14393,0,12322,0.856110609323977
"57","AL","Master's and Higher",2013,14525,1,1077,0.0741480206540447
"58","AL","Master's and Higher",2013,14525,0,12413,0.854595524956971
"59","AL","Master's and Higher",2014,14190,1,1101,0.0775898520084567
"60","AL","Master's and Higher",2014,14190,0,12116,0.8538407329105
"61","AR","Associate's and below",2010,18919,1,949,0.0501612135947989
"62","AR","Associate's and below",2010,18919,0,11390,0.602040276970242
"63","AR","Associate's and below",2011,22530,1,923,0.0409675987572126
"64","AR","Associate's and below",2011,22530,0,12019,0.53346648912561
"65","AR","Associate's and below",2012,20667,1,998,0.0482895437170368
"66","AR","Associate's and below",2012,20667,0,11985,0.579910001451589
"67","AR","Associate's and below",2013,21125,1,918,0.0434556213017751
"68","AR","Associate's and below",2013,21125,0,12384,0.586224852071006
"69","AR","Associate's and below",2014,22075,1,877,0.0397281993204983
"70","AR","Associate's and below",2014,22075,0,12656,0.573318233295583
"71","AR","Bachelor's",2010,13291,0,10817,0.813859002332405
"72","AR","Bachelor's",2010,13291,1,731,0.0549996238055827
"73","AR","Bachelor's",2011,13896,0,11099,0.798719055843408
"74","AR","Bachelor's",2011,13896,1,835,0.0600892343120322
"75","AR","Bachelor's",2012,14907,1,881,0.059099751794459
"76","AR","Bachelor's",2012,14907,0,11965,0.80264305359898
"77","AR","Bachelor's",2013,15095,1,941,0.0623385226896323
"78","AR","Bachelor's",2013,15095,0,11923,0.789864193441537
"79","AR","Bachelor's",2014,16270,0,13054,0.802335586969883
"80","AR","Bachelor's",2014,16270,1,972,0.0597418561770129
"81","AR","Master's and Higher",2010,5004,0,3726,0.744604316546763
"82","AR","Master's and Higher",2010,5004,1,546,0.109112709832134
"83","AR","Master's and Higher",2011,5702,1,844,0.148018239214311
"84","AR","Master's and Higher",2011,5702,0,4115,0.721676604700105
"85","AR","Master's and Higher",2012,6341,1,996,0.15707301687431
"86","AR","Master's and Higher",2012,6341,0,4426,0.69799716133102
"87","AR","Master's and Higher",2013,6381,1,853,0.133678106879799
"88","AR","Master's and Higher",2013,6381,0,4459,0.698793292587369
"89","AR","Master's and Higher",2014,6103,1,648,0.106177289857447
"90","AR","Master's and Higher",2014,6103,0,4448,0.728821890873341
"91","AS","Associate's and below",2010,289,1,9,0.0311418685121107
"92","AS","Associate's and below",2010,289,0,95,0.328719723183391
"93","AS","Associate's and below",2011,259,0,89,0.343629343629344
"94","AS","Associate's and below",2011,259,1,0,0
"95","AS","Associate's and below",2012,310,0,102,0.329032258064516
"96","AS","Associate's and below",2012,310,1,4,0.0129032258064516
"97","AS","Associate's and below",2013,270,0,98,0.362962962962963
"98","AS","Associate's and below",2013,270,1,5,0.0185185185185185
"99","AS","Associate's and below",2014,253,1,3,0.0118577075098814
"100","AS","Associate's and below",2014,253,0,90,0.355731225296443
"101","AS","Bachelor's",2012,2,0,2,1
"102","AS","Bachelor's",2013,5,0,5,1
"103","AS","Bachelor's",2014,3,0,3,1
"104","AZ","Associate's and below",2010,82927,0,63854,0.770002532347728
"105","AZ","Associate's and below",2010,82927,1,5038,0.0607522278630603
"106","AZ","Associate's and below",2011,100772,0,78276,0.776763386655023
"107","AZ","Associate's and below",2011,100772,1,5466,0.0542412574921605
"108","AZ","Associate's and below",2012,106508,1,6621,0.0621643444623878
"109","AZ","Associate's and below",2012,106508,0,80941,0.759952304052278
"110","AZ","Associate's and below",2013,89669,0,66243,0.738750292743311
"111","AZ","Associate's and below",2013,89669,1,5815,0.0648496135788288
"112","AZ","Associate's and below",2014,82709,0,61110,0.738855505446807
"113","AZ","Associate's and below",2014,82709,1,5188,0.0627259427631818
"114","AZ","Bachelor's",2010,46683,1,4223,0.0904611957243536
"115","AZ","Bachelor's",2010,46683,0,38243,0.819206134995609
"116","AZ","Bachelor's",2011,53400,0,44771,0.838408239700374
"117","AZ","Bachelor's",2011,53400,1,4515,0.0845505617977528
"118","AZ","Bachelor's",2012,66999,1,5010,0.0747772354811266
"119","AZ","Bachelor's",2012,66999,0,56663,0.845729040731951
"120","AZ","Bachelor's",2013,68679,0,57736,0.840664540834899
"121","AZ","Bachelor's",2013,68679,1,5064,0.0737343292709562
"122","AZ","Bachelor's",2014,63775,0,53096,0.832551940415523
"123","AZ","Bachelor's",2014,63775,1,4875,0.0764406115248922
"124","AZ","Master's and Higher",2010,37622,0,31144,0.827813513369837
"125","AZ","Master's and Higher",2010,37622,1,3368,0.0895220881399181
"126","AZ","Master's and Higher",2011,39232,1,4752,0.121125611745514
"127","AZ","Master's and Higher",2011,39232,0,30391,0.774648246329527
"128","AZ","Master's and Higher",2012,39765,1,3911,0.0983528228341506
"129","AZ","Master's and Higher",2012,39765,0,31951,0.803495536275619
"130","AZ","Master's and Higher",2013,34402,0,28307,0.822830068019301
"131","AZ","Master's and Higher",2013,34402,1,3072,0.0892971338875647
"132","AZ","Master's and Higher",2014,33090,1,3262,0.0985796313085524
"133","AZ","Master's and Higher",2014,33090,0,27071,0.818102145663342
"134","CA","Associate's and below",2010,239192,1,7183,0.0300302685708552
"135","CA","Associate's and below",2010,239192,0,168735,0.705437472825178
"136","CA","Associate's and below",2011,258625,0,182427,0.70537264378927
"137","CA","Associate's and below",2011,258625,1,7926,0.0306466892218463
"138","CA","Associate's and below",2012,261613,1,9142,0.0349447466295635
"139","CA","Associate's and below",2012,261613,0,187839,0.718003310233054
"140","CA","Associate's and below",2013,267792,0,193228,0.721560016729402
"141","CA","Associate's and below",2013,267792,1,9770,0.0364835394634642
"142","CA","Associate's and below",2014,270287,0,192070,0.7106150129307
"143","CA","Associate's and below",2014,270287,1,10940,0.0404754945668863
"144","CA","Bachelor's",2010,179301,0,145558,0.811808076920932
"145","CA","Bachelor's",2010,179301,1,14389,0.0802505284410014
"146","CA","Bachelor's",2011,184792,1,14603,0.0790239837222391
"147","CA","Bachelor's",2011,184792,0,149682,0.810002597515044
"148","CA","Bachelor's",2012,186680,1,15949,0.0854349689307907
"149","CA","Bachelor's",2012,186680,0,150446,0.805903149775016
"150","CA","Bachelor's",2013,192125,1,17670,0.091971372804164
"151","CA","Bachelor's",2013,192125,0,155153,0.807562784645413
"152","CA","Bachelor's",2014,211930,0,170620,0.805077148114944
"153","CA","Bachelor's",2014,211930,1,19270,0.0909262492332374
"154","CA","Master's and Higher",2010,84272,0,67005,0.795103949117144
"155","CA","Master's and Higher",2010,84272,1,10973,0.130209322194798
"156","CA","Master's and Higher",2011,87833,1,11792,0.134254778955518
"157","CA","Master's and Higher",2011,87833,0,69037,0.786002982933522
"158","CA","Master's and Higher",2012,89048,0,68885,0.773571556913126
"159","CA","Master's and Higher",2012,89048,1,12500,0.140373731021472
"160","CA","Master's and Higher",2013,90635,1,12389,0.13669112373807
"161","CA","Master's and Higher",2013,90635,0,70896,0.782214376344679
"162","CA","Master's and Higher",2014,95437,1,12280,0.128671270052495
"163","CA","Master's and Higher",2014,95437,0,74654,0.78223330574096
"164","CO","Associate's and below",2010,32324,1,1291,0.0399393639401064
"165","CO","Associate's and below",2010,32324,0,24044,0.743843583714887
"166","CO","Associate's and below",2011,33953,1,1301,0.0383176744323035
"167","CO","Associate's and below",2011,33953,0,24713,0.72785909934321
"168","CO","Associate's and below",2012,34903,1,1665,0.0477036357906197
"169","CO","Associate's and below",2012,34903,0,25148,0.720511130848351
"170","CO","Associate's and below",2013,34983,1,1740,0.0497384443872738
"171","CO","Associate's and below",2013,34983,0,24683,0.705571277477632
"172","CO","Associate's and below",2014,35381,0,25512,0.721064978378226
"173","CO","Associate's and below",2014,35381,1,1852,0.0523444786749951
"174","CO","Bachelor's",2010,31576,0,26086,0.826133772485432
"175","CO","Bachelor's",2010,31576,1,2786,0.0882315682797061
"176","CO","Bachelor's",2011,32737,1,2962,0.0904786632861899
"177","CO","Bachelor's",2011,32737,0,27209,0.83113907810734
"178","CO","Bachelor's",2012,34377,0,28513,0.829420833696949
"179","CO","Bachelor's",2012,34377,1,3267,0.0950344707217035
"180","CO","Bachelor's",2013,35774,1,3450,0.0964387544026388
"181","CO","Bachelor's",2013,35774,0,29699,0.830183932464919
"182","CO","Bachelor's",2014,36765,0,30236,0.822412620699034
"183","CO","Bachelor's",2014,36765,1,3985,0.108391132870937
"184","CO","Master's and Higher",2010,15386,1,2488,0.161705446509814
"185","CO","Master's and Higher",2010,15386,0,11289,0.733718965293124
"186","CO","Master's and Higher",2011,16602,1,2612,0.157330442115408
"187","CO","Master's and Higher",2011,16602,0,12576,0.757499096494398
"188","CO","Master's and Higher",2012,17887,0,13680,0.764801252306144
"189","CO","Master's and Higher",2012,17887,1,2899,0.162073013920725
"190","CO","Master's and Higher",2013,17883,1,2851,0.159425152379355
"191","CO","Master's and Higher",2013,17883,0,13845,0.774198959906056
"192","CO","Master's and Higher",2014,17959,1,2915,0.162314160031182
"193","CO","Master's and Higher",2014,17959,0,13887,0.773261317445292
"194","CT","Associate's and below",2010,15708,1,365,0.0232365673542144
"195","CT","Associate's and below",2010,15708,0,10866,0.691749427043545
"196","CT","Associate's and below",2011,17423,0,12198,0.700109051254089
"197","CT","Associate's and below",2011,17423,1,439,0.0251965792343454
"198","CT","Associate's and below",2012,18127,0,13359,0.736966955370442
"199","CT","Associate's and below",2012,18127,1,550,0.030341479560876
"200","CT","Associate's and below",2013,17866,0,13006,0.727974924437479
"201","CT","Associate's and below",2013,17866,1,626,0.0350386208440613
"202","CT","Associate's and below",2014,17737,1,644,0.0363082821221176
"203","CT","Associate's and below",2014,17737,0,12752,0.718949089473981
"204","CT","Bachelor's",2010,21475,0,17758,0.826915017462165
"205","CT","Bachelor's",2010,21475,1,1006,0.0468451688009313
"206","CT","Bachelor's",2011,21623,0,17614,0.814595569532442
"207","CT","Bachelor's",2011,21623,1,1144,0.0529066272025158
"208","CT","Bachelor's",2012,22801,0,18375,0.805885706767247
"209","CT","Bachelor's",2012,22801,1,1251,0.0548660146484803
"210","CT","Bachelor's",2013,23509,1,1295,0.0550852864860266
"211","CT","Bachelor's",2013,23509,0,18983,0.807477987153856
"212","CT","Bachelor's",2014,23746,0,19118,0.80510401751874
"213","CT","Bachelor's",2014,23746,1,1367,0.0575675903310031
"214","CT","Master's and Higher",2010,11320,0,9056,0.8
"215","CT","Master's and Higher",2010,11320,1,1247,0.110159010600707
"216","CT","Master's and Higher",2011,11853,1,1173,0.0989622880283473
"217","CT","Master's and Higher",2011,11853,0,9663,0.815236648949633
"218","CT","Master's and Higher",2012,12352,0,10006,0.810071243523316
"219","CT","Master's and Higher",2012,12352,1,1232,0.099740932642487
"220","CT","Master's and Higher",2013,12487,1,1282,0.102666773444382
"221","CT","Master's and Higher",2013,12487,0,9997,0.800592616320974
"222","CT","Master's and Higher",2014,12517,1,1239,0.0989853798833586
"223","CT","Master's and Higher",2014,12517,0,10161,0.811775984660861
"224","DC","Associate's and below",2010,1317,0,870,0.660592255125285
"225","DC","Associate's and below",2010,1317,1,110,0.0835231586940015
"226","DC","Associate's and below",2011,1316,0,728,0.553191489361702
"227","DC","Associate's and below",2011,1316,1,135,0.10258358662614
"228","DC","Associate's and below",2012,1291,0,802,0.621223857474826
"229","DC","Associate's and below",2012,1291,1,209,0.161890007745933
"230","DC","Associate's and below",2013,1535,0,1066,0.694462540716612
"231","DC","Associate's and below",2013,1535,1,200,0.130293159609121
"232","DC","Associate's and below",2014,2068,1,294,0.142166344294004
"233","DC","Associate's and below",2014,2068,0,1508,0.729206963249516
"234","DC","Bachelor's",2010,10545,1,762,0.0722617354196302
"235","DC","Bachelor's",2010,10545,0,9186,0.871123755334282
"236","DC","Bachelor's",2011,9934,0,8686,0.874370847594121
"237","DC","Bachelor's",2011,9934,1,668,0.0672438091403262
"238","DC","Bachelor's",2012,10861,0,9242,0.850934536414695
"239","DC","Bachelor's",2012,10861,1,836,0.076972654451708
"240","DC","Bachelor's",2013,11104,0,9544,0.859510086455331
"241","DC","Bachelor's",2013,11104,1,867,0.0780799711815562
"242","DC","Bachelor's",2014,10849,0,9327,0.859710572402986
"243","DC","Bachelor's",2014,10849,1,836,0.0770577933450088
"244","DC","Master's and Higher",2010,12868,0,10115,0.786058439539944
"245","DC","Master's and Higher",2010,12868,1,831,0.0645788001243394
"246","DC","Master's and Higher",2011,13655,0,10849,0.794507506407909
"247","DC","Master's and Higher",2011,13655,1,782,0.0572683998535335
"248","DC","Master's and Higher",2012,13952,1,840,0.0602064220183486
"249","DC","Master's and Higher",2012,13952,0,10867,0.778884747706422
"250","DC","Master's and Higher",2013,14875,0,11580,0.778487394957983
"251","DC","Master's and Higher",2013,14875,1,1107,0.0744201680672269
"252","DC","Master's and Higher",2014,15251,1,1070,0.0701593338141761
"253","DC","Master's and Higher",2014,15251,0,12007,0.787292636548423
"254","DE","Associate's and below",2010,3559,1,176,0.0494520932846305
"255","DE","Associate's and below",2010,3559,0,2921,0.820736161843214
"256","DE","Associate's and below",2011,4008,0,3390,0.845808383233533
"257","DE","Associate's and below",2011,4008,1,178,0.0444111776447106
"258","DE","Associate's and below",2012,4258,1,160,0.0375763269140442
"259","DE","Associate's and below",2012,4258,0,3670,0.861906998590888
"260","DE","Associate's and below",2013,4034,0,3495,0.866385721368369
"261","DE","Associate's and below",2013,4034,1,176,0.0436291522062469
"262","DE","Associate's and below",2014,3914,1,157,0.040112416964742
"263","DE","Associate's and below",2014,3914,0,3376,0.862544711292795
"264","DE","Bachelor's",2010,5950,0,5141,0.864033613445378
"265","DE","Bachelor's",2010,5950,1,359,0.0603361344537815
"266","DE","Bachelor's",2011,6355,0,5460,0.859166011014949
"267","DE","Bachelor's",2011,6355,1,478,0.0752163650668765
"268","DE","Bachelor's",2012,6426,1,467,0.0726735138499844
"269","DE","Bachelor's",2012,6426,0,5515,0.858232181761594
"270","DE","Bachelor's",2013,6662,1,508,0.0762533773641549
"271","DE","Bachelor's",2013,6662,0,5617,0.843140198138697
"272","DE","Bachelor's",2014,6815,0,5703,0.836830520909758
"273","DE","Bachelor's",2014,6815,1,623,0.0914159941305943
"274","DE","Master's and Higher",2010,3006,0,2347,0.780771789753826
"275","DE","Master's and Higher",2010,3006,1,393,0.130738522954092
"276","DE","Master's and Higher",2011,3300,0,2590,0.784848484848485
"277","DE","Master's and Higher",2011,3300,1,442,0.133939393939394
"278","DE","Master's and Higher",2012,3289,0,2621,0.796898753420493
"279","DE","Master's and Higher",2012,3289,1,376,0.114320462146549
"280","DE","Master's and Higher",2013,3333,1,469,0.140714071407141
"281","DE","Master's and Higher",2013,3333,0,2614,0.784278427842784
"282","DE","Master's and Higher",2014,3428,1,534,0.155775962660443
"283","DE","Master's and Higher",2014,3428,0,2629,0.766919486581097
"284","FL","Associate's and below",2010,163897,1,5781,0.035272152632446
"285","FL","Associate's and below",2010,163897,0,95825,0.584665979243061
"286","FL","Associate's and below",2011,179103,1,5746,0.0320820980106419
"287","FL","Associate's and below",2011,179103,0,105539,0.589264278096961
"288","FL","Associate's and below",2012,188300,1,6562,0.0348486457780138
"289","FL","Associate's and below",2012,188300,0,104140,0.553053637812002
"290","FL","Associate's and below",2013,182729,0,103536,0.56660956936228
"291","FL","Associate's and below",2013,182729,1,7936,0.0434304352346918
"292","FL","Associate's and below",2014,177041,0,100055,0.565151575058885
"293","FL","Associate's and below",2014,177041,1,8023,0.0453171864144464
"294","FL","Bachelor's",2010,87346,0,69911,0.800391546264282
"295","FL","Bachelor's",2010,87346,1,6658,0.0762255856020883
"296","FL","Bachelor's",2011,90405,1,7283,0.0805597035562192
"297","FL","Bachelor's",2011,90405,0,71522,0.791128809247276
"298","FL","Bachelor's",2012,95802,0,75732,0.790505417423436
"299","FL","Bachelor's",2012,95802,1,7661,0.0799670153023945
"300","FL","Bachelor's",2013,99119,1,8079,0.0815080862397724
"301","FL","Bachelor's",2013,99119,0,78200,0.788950655272955
"302","FL","Bachelor's",2014,101576,0,79679,0.784427423800898
"303","FL","Bachelor's",2014,101576,1,8704,0.0856895329605419
"304","FL","Master's and Higher",2010,40159,1,3778,0.0940760477103514
"305","FL","Master's and Higher",2010,40159,0,32576,0.811175577081103
"306","FL","Master's and Higher",2011,41999,1,4179,0.0995023691040263
"307","FL","Master's and Higher",2011,41999,0,34141,0.81290030715017
"308","FL","Master's and Higher",2012,44439,0,36154,0.813564661671055
"309","FL","Master's and Higher",2012,44439,1,4212,0.0947816107473165
"310","FL","Master's and Higher",2013,42829,1,4142,0.0967101730136123
"311","FL","Master's and Higher",2013,42829,0,34968,0.816456139531626
"312","FL","Master's and Higher",2014,43996,1,4733,0.107577961632876
"313","FL","Master's and Higher",2014,43996,0,35471,0.806232384762251
"314","FM","Associate's and below",2010,289,1,36,0.124567474048443
"315","FM","Associate's and below",2010,289,0,165,0.570934256055363
"316","FM","Associate's and below",2011,374,0,214,0.572192513368984
"317","FM","Associate's and below",2011,374,1,27,0.072192513368984
"318","FM","Associate's and below",2012,412,1,42,0.101941747572816
"319","FM","Associate's and below",2012,412,0,265,0.643203883495146
"320","FM","Associate's and below",2013,383,0,237,0.618798955613577
"321","FM","Associate's and below",2013,383,1,43,0.112271540469974
"322","FM","Associate's and below",2014,369,1,50,0.13550135501355
"323","FM","Associate's and below",2014,369,0,229,0.62059620596206
"324","GA","Associate's and below",2010,64572,1,3389,0.0524840488137273
"325","GA","Associate's and below",2010,64572,0,48891,0.757154803939788
"326","GA","Associate's and below",2011,73091,0,55250,0.755907020016144
"327","GA","Associate's and below",2011,73091,1,3455,0.047269841704177
"328","GA","Associate's and below",2012,63219,0,45029,0.712270045397744
"329","GA","Associate's and below",2012,63219,1,3220,0.0509340546354735
"330","GA","Associate's and below",2013,59481,0,42781,0.719238076024277
"331","GA","Associate's and below",2013,59481,1,2674,0.0449555320186278
"332","GA","Associate's and below",2014,61958,1,2877,0.0464346815584751
"333","GA","Associate's and below",2014,61958,0,44807,0.723183446851093
"334","GA","Bachelor's",2010,43574,0,36142,0.829439574057924
"335","GA","Bachelor's",2010,43574,1,3713,0.0852113645752054
"336","GA","Bachelor's",2011,46353,1,4030,0.0869415140336116
"337","GA","Bachelor's",2011,46353,0,38369,0.827756563760706
"338","GA","Bachelor's",2012,47350,0,39098,0.825723336853221
"339","GA","Bachelor's",2012,47350,1,4026,0.085026399155227
"340","GA","Bachelor's",2013,49353,1,4482,0.0908151480153182
"341","GA","Bachelor's",2013,49353,0,40625,0.823151581464146
"342","GA","Bachelor's",2014,50536,0,41328,0.817793256292544
"343","GA","Bachelor's",2014,50536,1,4985,0.0986425518442299
"344","GA","Master's and Higher",2010,21987,0,17009,0.773593487060536
"345","GA","Master's and Higher",2010,21987,1,2963,0.134761449947696
"346","GA","Master's and Higher",2011,23035,1,3268,0.141871065769481
"347","GA","Master's and Higher",2011,23035,0,17566,0.762578684610375
"348","GA","Master's and Higher",2012,23423,0,17916,0.764889211458822
"349","GA","Master's and Higher",2012,23423,1,3315,0.141527558382786
"350","GA","Master's and Higher",2013,23958,1,3407,0.142207195926204
"351","GA","Master's and Higher",2013,23958,0,18200,0.759662743133818
"352","GA","Master's and Higher",2014,22963,1,3426,0.149196533553978
"353","GA","Master's and Higher",2014,22963,0,17363,0.756129425597701
"354","GU","Associate's and below",2010,293,0,262,0.89419795221843
"355","GU","Associate's and below",2010,293,1,12,0.0409556313993174
"356","GU","Associate's and below",2011,228,0,204,0.894736842105263
"357","GU","Associate's and below",2011,228,1,12,0.0526315789473684
"358","GU","Associate's and below",2012,391,1,27,0.0690537084398977
"359","GU","Associate's and below",2012,391,0,317,0.81074168797954
"360","GU","Associate's and below",2013,216,0,174,0.805555555555556
"361","GU","Associate's and below",2013,216,1,9,0.0416666666666667
"362","GU","Associate's and below",2014,230,1,15,0.0652173913043478
"363","GU","Associate's and below",2014,230,0,180,0.782608695652174
"364","GU","Bachelor's",2010,347,0,336,0.968299711815562
"365","GU","Bachelor's",2010,347,1,10,0.0288184438040346
"366","GU","Bachelor's",2011,392,1,13,0.0331632653061225
"367","GU","Bachelor's",2011,392,0,379,0.966836734693878
"368","GU","Bachelor's",2012,448,0,434,0.96875
"369","GU","Bachelor's",2012,448,1,12,0.0267857142857143
"370","GU","Bachelor's",2013,413,1,13,0.0314769975786925
"371","GU","Bachelor's",2013,413,0,396,0.958837772397094
"372","GU","Bachelor's",2014,473,0,455,0.961945031712474
"373","GU","Bachelor's",2014,473,1,14,0.0295983086680761
"374","GU","Master's and Higher",2010,122,0,122,1
"375","GU","Master's and Higher",2011,134,0,134,1
"376","GU","Master's and Higher",2012,132,0,132,1
"377","GU","Master's and Higher",2013,113,0,113,1
"378","GU","Master's and Higher",2014,106,0,106,1
"379","HI","Associate's and below",2010,4231,1,159,0.0375797683762704
"380","HI","Associate's and below",2010,4231,0,2330,0.550697234696289
"381","HI","Associate's and below",2011,4913,0,2690,0.547526969265215
"382","HI","Associate's and below",2011,4913,1,215,0.0437614492163647
"383","HI","Associate's and below",2012,5425,1,243,0.0447926267281106
"384","HI","Associate's and below",2012,5425,0,3042,0.56073732718894
"385","HI","Associate's and below",2013,5797,0,3173,0.547352078661377
"386","HI","Associate's and below",2013,5797,1,230,0.0396756943246507
"387","HI","Associate's and below",2014,6732,0,3157,0.468954248366013
"388","HI","Associate's and below",2014,6732,1,217,0.0322341057635175
"389","HI","Bachelor's",2010,5719,0,4874,0.852246896310544
"390","HI","Bachelor's",2010,5719,1,318,0.0556041265955587
"391","HI","Bachelor's",2011,5979,1,288,0.0481685900652283
"392","HI","Bachelor's",2011,5979,0,5109,0.854490717511289
"393","HI","Bachelor's",2012,6334,1,334,0.052731291443006
"394","HI","Bachelor's",2012,6334,0,5455,0.8612251341964
"395","HI","Bachelor's",2013,6546,1,409,0.0624809043690804
"396","HI","Bachelor's",2013,6546,0,5478,0.836846929422548
"397","HI","Bachelor's",2014,7083,0,6027,0.850910631088522
"398","HI","Bachelor's",2014,7083,1,494,0.0697444585627559
"399","HI","Master's and Higher",2010,2410,1,316,0.131120331950207
"400","HI","Master's and Higher",2010,2410,0,1839,0.763070539419087
"401","HI","Master's and Higher",2011,2592,1,316,0.121913580246914
"402","HI","Master's and Higher",2011,2592,0,1955,0.754243827160494
"403","HI","Master's and Higher",2012,2651,1,270,0.10184835910977
"404","HI","Master's and Higher",2012,2651,0,2114,0.797434930215013
"405","HI","Master's and Higher",2013,2534,1,293,0.115627466456196
"406","HI","Master's and Higher",2013,2534,0,2002,0.790055248618785
"407","HI","Master's and Higher",2014,2631,1,277,0.105283162295705
"408","HI","Master's and Higher",2014,2631,0,2148,0.816419612314709
"409","IA","Associate's and below",2010,22718,1,1158,0.0509727969011357
"410","IA","Associate's and below",2010,22718,0,13508,0.594594594594595
"411","IA","Associate's and below",2011,27471,1,1495,0.054421025809035
"412","IA","Associate's and below",2011,27471,0,18034,0.656474099959958
"413","IA","Associate's and below",2012,28775,1,1483,0.0515377932232841
"414","IA","Associate's and below",2012,28775,0,18347,0.637602085143354
"415","IA","Associate's and below",2013,26917,1,1308,0.0485938254634618
"416","IA","Associate's and below",2013,26917,0,17409,0.646765984322176
"417","IA","Associate's and below",2014,25592,1,1426,0.0557205376680213
"418","IA","Associate's and below",2014,25592,0,16033,0.626484839012191
"419","IA","Bachelor's",2010,33819,0,29269,0.865460244241403
"420","IA","Bachelor's",2010,33819,1,1948,0.0576007569709335
"421","IA","Bachelor's",2011,39832,1,2274,0.0570897770636674
"422","IA","Bachelor's",2011,39832,0,32929,0.826697127937337
"423","IA","Bachelor's",2012,44462,0,36991,0.831968872295443
"424","IA","Bachelor's",2012,44462,1,2334,0.0524942647654177
"425","IA","Bachelor's",2013,46020,1,2435,0.0529117774880487
"426","IA","Bachelor's",2013,46020,0,38550,0.83767926988266
"427","IA","Bachelor's",2014,32201,1,2496,0.0775131207105369
"428","IA","Bachelor's",2014,32201,0,27130,0.84252041862054
"429","IA","Master's and Higher",2010,10391,1,729,0.0701568665191031
"430","IA","Master's and Higher",2010,10391,0,8762,0.843229718025214
"431","IA","Master's and Higher",2011,13340,1,836,0.0626686656671664
"432","IA","Master's and Higher",2011,13340,0,10661,0.799175412293853
"433","IA","Master's and Higher",2012,15325,0,12354,0.806133768352365
